# Session
# Date,2026-06-25 10:58:42
# Duration,16.888s
# Sampling Rate (Expected),Game (50 Hz) - Climbing recommended
# Total Events,831
#
Time(ms),Sensor,Accel.X(m/s²),Accel.Y(m/s²),Accel.Z(m/s²),Gyro.X(rad/s),Gyro.Y(rad/s),Gyro.Z(rad/s),Heart(bpm),Pressure(hPa),Altitude(m)
1985,fused,1.2855584621429443,-8.92929744720459,4.378640651702881,0.04982868582010269,0.007248655892908573,0.021226780489087105,0.0,0.0,0.0
2004,fused,1.302327036857605,-9.082609176635742,4.3067755699157715,0.09881868958473206,0.002988656284287572,0.027616780251264572,0.0,0.0,0.0
2027,fused,1.2807674407958984,-9.223943710327148,4.299589157104492,0.09881868958473206,0.002988656284287572,0.027616780251264572,0.0,0.0,0.0
2047,fused,1.2592079639434814,-8.998766899108887,4.431341648101807,0.1733686774969101,-0.002336343517526984,0.01696678064763546,0.0,0.0,0.0
2064,fused,1.2592079639434814,-8.998766899108887,4.431341648101807,0.1733686774969101,-0.002336343517526984,0.01696678064763546,0.0,0.0,0.0
2086,fused,1.2855584621429443,-8.785567283630371,4.524765968322754,0.0796486884355545,-0.006596343591809273,0.00631678057834506,0.0,0.0,0.0
2104,fused,1.2855584621429443,-8.785567283630371,4.524765968322754,0.0796486884355545,-0.006596343591809273,0.00631678057834506,0.0,0.0,0.0
2124,fused,1.3143044710159302,-8.97002124786377,4.460087299346924,0.025333687663078308,-0.008726343512535095,0.011641781777143478,0.0,0.0,0.0
2144,fused,1.2927449941635132,-9.027512550354004,4.436132431030273,0.020008688792586327,-0.0034013439435511827,0.012706780806183815,0.0,0.0,0.0
2169,fused,1.297536015510559,-9.053863525390625,4.4576921463012695,0.06260868906974792,0.005118655972182751,0.009511781856417656,0.0,0.0,0.0
2184,fused,1.3071180582046509,-9.051467895507812,4.474460601806641,0.06260868906974792,0.005118655972182751,0.009511781856417656,0.0,0.0,0.0
2204,fused,1.2855584621429443,-8.847850799560547,4.536743640899658,0.0647386908531189,0.00937865674495697,0.015901779755949974,0.0,0.0,0.0
2226,fused,1.2448350191116333,-8.773590087890625,4.555907726287842,0.005098688416182995,0.008313655853271484,0.018031779676675797,0.0,0.0,0.0
2244,fused,1.2184845209121704,-8.807126998901367,4.522370338439941,-0.08329630643129349,-0.00020634382963180542,0.0009917807765305042,0.0,0.0,0.0
2265,fused,1.2376484870910645,-9.049072265625,4.455296516418457,-0.1280263215303421,-0.0055313436314463615,-0.018178218975663185,0.0,0.0,0.0
2284,fused,1.297536015510559,-9.214362144470215,4.383431434631348,-0.0822313129901886,-0.006596343591809273,-0.028828220441937447,0.0,0.0,0.0
2304,fused,1.3334685564041138,-9.17842960357666,4.373849391937256,-0.007681311573833227,-0.002336343517526984,-0.018178218975663185,0.0,0.0,0.0
2324,fused,1.319095492362976,-9.044281959533691,4.431341648101807,0.05089368671178818,0.007248655892908573,0.007381780538707972,0.0,0.0,0.0
2347,fused,1.319095492362976,-9.044281959533691,4.431341648101807,0.05089368671178818,0.007248655892908573,0.007381780538707972,0.0,0.0,0.0
2365,fused,1.319095492362976,-9.044281959533691,4.431341648101807,0.05089368671178818,0.007248655892908573,0.007381780538707972,0.0,0.0,0.0
2386,fused,1.2616034746170044,-8.917320251464844,4.467274188995361,0.05089368671178818,0.014703655615448952,0.02548678033053875,0.0,0.0,0.0
2404,fused,1.2616034746170044,-8.917320251464844,4.467274188995361,0.05089368671178818,0.014703655615448952,0.02548678033053875,0.0,0.0,0.0
2425,fused,1.2616034746170044,-8.917320251464844,4.467274188995361,0.05089368671178818,0.014703655615448952,0.02548678033053875,0.0,0.0,0.0
2444,fused,1.2616034746170044,-8.917320251464844,4.467274188995361,0.05089368671178818,0.014703655615448952,0.02548678033053875,0.0,0.0,0.0
2464,fused,1.2616034746170044,-8.917320251464844,4.467274188995361,0.05089368671178818,0.014703655615448952,0.02548678033053875,0.0,0.0,0.0
2484,fused,1.2592079639434814,-9.003558158874512,4.474460601806641,0.040243685245513916,0.02109365724027157,0.02016177959740162,0.0,0.0,0.0
2505,fused,1.2592079639434814,-9.003558158874512,4.474460601806641,0.040243685245513916,0.02109365724027157,0.02016177959740162,0.0,0.0,0.0
2525,fused,1.2592079639434814,-9.003558158874512,4.474460601806641,0.040243685245513916,0.02109365724027157,0.02016177959740162,0.0,0.0,0.0
2546,fused,1.2448350191116333,-8.950857162475586,4.486437797546387,-0.0588013119995594,0.014703655615448952,0.00844678096473217,0.0,0.0,0.0
2565,fused,1.2256710529327393,-9.037095069885254,4.45050573348999,0.03704868629574776,-0.00020634382963180542,0.009511781856417656,0.0,0.0,0.0
2584,fused,1.2304619550704956,-8.845455169677734,4.527161598205566,0.014683688059449196,-0.0055313436314463615,-0.006463219411671162,0.0,0.0,0.0
2605,fused,1.2400439977645874,-8.948461532592773,4.491229057312012,-0.03324131295084953,-0.012986344285309315,-0.009658219292759895,0.0,0.0,0.0
2626,fused,1.2448350191116333,-9.092191696166992,4.421759605407715,-0.03111131303012371,-0.015116344206035137,-0.004333219025284052,0.0,0.0,0.0
2645,fused,1.2663944959640503,-9.061050415039062,4.419363975524902,0.0008386881090700626,-0.011921344324946404,-0.0032682190649211407,0.0,0.0,0.0
2665,fused,1.2448350191116333,-9.046676635742188,4.443318843841553,0.021073687821626663,-0.00446634367108345,-0.0022032191045582294,0.0,0.0,0.0
2685,fused,1.2376484870910645,-8.946065902709961,4.498415470123291,0.029593689367175102,0.002988656284287572,-0.0032682190649211407,0.0,0.0,0.0
2705,fused,1.2639989852905273,-8.864619255065918,4.510393142700195,0.004033687990158796,0.006183656398206949,-0.0022032191045582294,0.0,0.0,0.0
2724,fused,1.2639989852905273,-8.958043098449707,4.464878559112549,-0.03217631205916405,0.01257365569472313,0.005251780617982149,0.0,0.0,0.0
2744,fused,1.2687900066375732,-9.075423240661621,4.412177562713623,-0.038566313683986664,0.018963657319545746,0.009511781856417656,0.0,0.0,0.0
2764,fused,1.2592079639434814,-9.113751411437988,4.4097819328308105,-0.01194131188094616,0.029613656923174858,0.018031779676675797,0.0,0.0,0.0
2784,fused,1.2328574657440186,-9.039490699768066,4.436132431030273,0.01894368790090084,0.038133654743433,0.024421781301498413,0.0,0.0,0.0
2807,fused,1.2352529764175415,-9.108960151672363,4.433736801147461,0.05089368671178818,0.03706865385174751,0.024421781301498413,0.0,0.0,0.0
2826,fused,1.2232755422592163,-8.984394073486328,4.488833427429199,0.06793369352817535,0.036003656685352325,0.02229178138077259,0.0,0.0,0.0
2845,fused,1.2208800315856934,-8.900551795959473,4.510393142700195,0.05302368849515915,0.038133654743433,0.021226780489087105,0.0,0.0,0.0
2864,fused,1.1657835245132446,-8.828686714172363,4.51278829574585,0.00935868825763464,0.044523656368255615,0.010576780885457993,0.0,0.0,0.0
2884,fused,1.1633880138397217,-9.0011625289917,4.486437797546387,-0.038566313683986664,0.038133654743433,0.007381780538707972,0.0,0.0,0.0
2904,fused,1.2328574657440186,-9.053863525390625,4.443318843841553,-0.03963131457567215,0.03493865579366684,0.013771779835224152,0.0,0.0,0.0
2924,fused,1.2017159461975098,-9.063445091247559,4.455296516418457,-0.018331311643123627,0.04026365652680397,0.018031779676675797,0.0,0.0,0.0
2944,fused,1.1945295333862305,-8.984394073486328,4.460087299346924,0.008293688297271729,0.042393654584884644,0.02229178138077259,0.0,0.0,0.0
2964,fused,1.1801564693450928,-8.993975639343262,4.464878559112549,0.01361868716776371,0.044523656368255615,0.026551781222224236,0.0,0.0,0.0
2984,fused,1.1370375156402588,-8.96043872833252,4.484042644500732,0.005098688416182995,0.042393654584884644,0.03187678009271622,0.0,0.0,0.0
3004,fused,1.1202689409255981,-8.998766899108887,4.474460601806641,-0.004486312158405781,0.032808657735586166,0.029746782034635544,0.0,0.0,0.0
3025,fused,1.1202689409255981,-9.092191696166992,4.45050573348999,0.008293688297271729,0.02322365716099739,0.027616780251264572,0.0,0.0,0.0
3045,fused,1.1202689409255981,-9.092191696166992,4.45050573348999,0.008293688297271729,0.02322365716099739,0.027616780251264572,0.0,0.0,0.0
3065,fused,1.1202689409255981,-9.092191696166992,4.45050573348999,0.008293688297271729,0.02322365716099739,0.027616780251264572,0.0,0.0,0.0
3085,fused,1.1202689409255981,-9.092191696166992,4.45050573348999,0.008293688297271729,0.02322365716099739,0.027616780251264572,0.0,0.0,0.0
3105,fused,1.1202689409255981,-9.092191696166992,4.45050573348999,0.008293688297271729,0.02322365716099739,0.027616780251264572,0.0,0.0,0.0
3125,fused,1.1202689409255981,-9.092191696166992,4.45050573348999,0.008293688297271729,0.02322365716099739,0.027616780251264572,0.0,0.0,0.0
3145,fused,1.1130825281143188,-9.068236351013184,4.445714473724365,0.043438687920570374,0.02109365724027157,0.019096780568361282,0.0,0.0,0.0
3164,fused,1.1130825281143188,-9.068236351013184,4.445714473724365,0.043438687920570374,0.02109365724027157,0.019096780568361282,0.0,0.0,0.0
3185,fused,1.103500485420227,-9.032303810119629,4.486437797546387,0.043438687920570374,0.02109365724027157,0.019096780568361282,0.0,0.0,0.0
3209,fused,1.1394330263137817,-8.871805191040039,4.555907726287842,0.07112868875265121,0.002988656284287572,-0.016048219054937363,0.0,0.0,0.0
3225,fused,1.1394330263137817,-8.871805191040039,4.555907726287842,0.07112868875265121,0.002988656284287572,-0.016048219054937363,0.0,0.0,0.0
3244,fused,1.1394330263137817,-8.871805191040039,4.555907726287842,0.07112868875265121,0.002988656284287572,-0.016048219054937363,0.0,0.0,0.0
3268,fused,1.1394330263137817,-8.871805191040039,4.555907726287842,0.07112868875265121,0.002988656284287572,-0.016048219054937363,0.0,0.0,0.0
3284,fused,1.1394330263137817,-8.871805191040039,4.555907726287842,0.07112868875265121,0.002988656284287572,-0.016048219054937363,0.0,0.0,0.0
3308,fused,1.1394330263137817,-8.871805191040039,4.555907726287842,0.01361868716776371,0.01789865642786026,0.004186781123280525,0.0,0.0,0.0
3325,fused,1.149014949798584,-8.953252792358398,4.5702805519104,-0.005551312118768692,0.018963657319545746,-0.028828220441937447,0.0,0.0,0.0
3346,fused,1.0747544765472412,-8.955648422241211,4.5439300537109375,-0.005551312118768692,0.018963657319545746,-0.028828220441937447,0.0,0.0,0.0
3364,fused,1.103500485420227,-8.84066390991211,4.57746696472168,-0.005551312118768692,0.018963657319545746,-0.028828220441937447,0.0,0.0,0.0
